core_cpg_group,brand,brand_key,canonical_brand,default_assigned_company,us_assigned_company,ca_assigned_company,uk_assigned_company,ie_assigned_company,fr_assigned_company,ownership_architecture_notes,source_company_brand_list,source_exception_matrix,source_type,in_official_company_brand_list,ownership_resolution_status,needs_manual_review,notes
Nestlé,Acqua Panna,acqua panna,Acqua Panna,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,direct,no,Official Nestlé A-Z brand list
Nestlé,Aero,aero,Aero,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,direct,no,Official Nestlé A-Z brand list
Nestlé,Alfamino,alfamino,Alfamino,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,manual_review,yes,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Nestlé Step 3 audit 2026-09-02: excluded from automatic human-food Top 9 matching
Nestlé,Alpo,alpo,Alpo,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,manual_review,yes,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Nestlé Step 3 audit 2026-09-02: excluded from automatic human-food Top 9 matching
Nestlé,Antica Gelateria Del Corso,antica gelateria del corso,Antica Gelateria Del Corso,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,direct,no,Official Nestlé A-Z brand list
Nestlé,Baci Perugina,baci perugina,Baci Perugina,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,direct,no,Official Nestlé A-Z brand list
Nestlé,Bakers,bakers,Bakers,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,manual_review,yes,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Nestlé Step 3 audit 2026-09-02: excluded from automatic human-food Top 9 matching
Nestlé,Bear Brand,bear brand,Bear Brand,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,direct,no,Official Nestlé A-Z brand list
Nestlé,Beggin',beggin,Beggin',Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,manual_review,yes,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Nestlé Step 3 audit 2026-09-02: excluded from automatic human-food Top 9 matching
Nestlé,Beneful,beneful,Beneful,Nestlé,,,,,,,https://www.nestle.com/brands/brandssearchlist,,official_company_brand_list,yes,manual_review,yes,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope; Nestlé Step 3 audit 2026-09-02: excluded from automatic human-food Top 9 matching
